idx,company,website,tax1,notes,city,lat,lng,tax2,tax3
28,Generate capital,https://generatecapital.com/,Venture Capital,microgrids; energy storage; solar; fuel cells; biomass and biogas; sensors; thermal; electrical vehicles,filler,37.797604,-122.398281,Venture Capital,Venture Capital
29,G2VP,https://www.g2vp.com/portfolio,Venture Capital,analytics; materials;electrical vehicles; energy efficiency; solar; ,filler,37.398309,-122.192919,Venture Capital,Venture Capital
30,foundation capital,https://foundationcapital.com/companies/,Venture Capital,"transportation and logistics; circular economy; energy generation, storage, and utilization; manufacturing and materials; food and agriculture",filler,37.443291,-122.162498,Venture Capital,Venture Capital
31,ACRE,http://ufl.squarespace.com/ourprograms/acre,Venture Capital,Energy Efficiency and Energy Management,filler,40.692912,-73.987461,Venture Capital,Venture Capital
32,National Grid Partners,https://ngpartners.com/,Venture Capital,Security; solar; power grid; analytics; IIoT,filler,37.234581,-121.965196,Venture Capital,Venture Capital
33,Vision Ridge Partners,https://vision-ridge.com/sustainable-real-assets/,Venture Capital,"anything related to sustainability: energy transition, energy storage, renewable natural gas, charging infrastructure, commercial vehicle electrification, martime electrification, water infrastructure, transportation",filler,40.739179,-73.990112,Venture Capital,Venture Capital
34,Energy Spectrum Capital,https://energyspectrum.com/,Venture Capital,"oil and gas, energy logistics, energy storage, oil gathering and trasportation, anything related to energy",filler,32.86204,-96.809954,Venture Capital,Venture Capital
35,BMW iVentures,https://www.bmwiventures.com/home/#portfolio,Venture Capital,solar; energy efficiency; sensors; analytics; thermal; materials; cybersecurity; energy storage; ,filler,37.425891,-122.09783,Venture Capital,Venture Capital
36,rockport capital partners,https://www.rockportcap.com/,Venture Capital,"renewable energy, sustainability, mobility, transportation",filler,42.360082,-71.05888,Venture Capital,Venture Capital
37,The Engine,https://www.engine.xyz/founders/?fwp_company_categories=energy,Venture Capital,"energy innovation, clean tech, climate change",filler,42.364291,-71.101477,Venture Capital,Venture Capital
38,NGEN MGT ||,https://ngenpartners.com/ngen_portfolio/,Venture Capital,"energy grid, EV, clean energy, renewable energy, fintech",filler,40.753139,-73.972507,Venture Capital,Venture Capital
39,founders fund,Founders Fund,Venture Capital,"clean energy, energy innovation, oil and gas, circular economy",filler,37.800622,-122.44977,Venture Capital,Venture Capital
40,AMCREF Community Capital?,"Impact Projects Archive - AMCREF Community Capital, LLC",Venture Capital,"clean energy, green manufacturing, renewable energy, focus on companies that provide jobs",filler,29.935768,-90.104056,Venture Capital,Venture Capital
41,SCF Partners,SCF Partners | About,Venture Capital,"clean energy, oil and gas, industrial, energy storage, manufacturing, energy efficiency, ",filler,29.760381,-95.363988,Venture Capital,Venture Capital
42,Austin Ventures,Portfolio | Austin Ventures,Venture Capital,"semiconductors, renewable energy, ",filler,30.263863,-97.74477,Venture Capital,Venture Capital
43,BoxGroup,Portfolio | BoxGroup,Venture Capital,"renewable energy, climateTech, thermal, industrial",filler,40.712775,-74.005973,Venture Capital,Venture Capital
44,Advanced Technology Ventures,Advanced Technology Ventures | LinkedIn,Venture Capital,cleantech,filler,42.350538,-71.074141,Venture Capital,Venture Capital
45,Princeville Capital,Princeville Capital (princeville-capital.com),Venture Capital,"climate tech, clean tech, battery charging, software analytics, iot, solar",filler,37.786951,-122.398958,Venture Capital,Venture Capital
46,Technology Partners,Technology Partners - Cleantech,Venture Capital,"clean energy, solar, transportation, infrastructure, energy storage ",filler,38.1,-122.57,Venture Capital,Venture Capital
47,Breakthrough Energy Ventures,https://www.breakthroughenergy.org/,Venture Capital,Cleantech: Solar; sensors; energy systems and efficiency; biofuels; construction; nuclear; energy storage and grid,filler,47.656383,-122.206026,Venture Capital,Venture Capital
48,Energy Impact Partners,https://www.energyimpactpartners.com/,Venture Capital,solar; nuclear; analytics and data; generation; security and cybersecurity; utility/powergrid; manufacturing; mobility,filler,37.792293,-122.394078,Venture Capital,Venture Capital
49,Amazon Climate Pledge Fund,https://sustainability.aboutamazon.com/about/the-climate-pledge/the-climate-pledge-fund,Venture Capital,"transportation and logistics; circular economy; energy generation, storage, and utilization; manufacturing and materials; food and agriculture",filler,47.622942,-122.355899,Venture Capital,Venture Capital
50,Energy Select sector SPDR Fund,,ETF,Oil and Gas Exploration,filler,42.276577,-71.03379,ETF,ETF
51,Vanguard Energy ETF,,ETF,Oil and Gas Exploration,filler,40.052168,-75.500918,ETF,ETF
52,SPDR S&P Oil & Gas Exploration & Production ETF,,ETF,Oil and Gas Exploration,filler,42.276577,-71.03379,ETF,ETF
53,First Trust NASDAQ Clean Edge Green Energy Index Fund,,ETF,Clean Energy,filler,41.863975,-88.105688,ETF,ETF
54,VanEck Uranium+Nuclear Energy ETF,,ETF,Nuclear Energy,filler,40.751211,-73.974641,ETF,ETF
55,VanEck Low Carbon Energy ETF,,ETF,Clean Energy,filler,40.751211,-73.974641,ETF,ETF
56,Pacer American Energy Independence ETF,,ETF,Oil and Gas exploration,filler,40.060466,-75.512475,ETF,ETF
57,iShare Global Clean Energy ETF,,ETF,Clean Energy,filler,40.758731,-73.974044,ETF,ETF
58,Alerian MLP ETF,,ETF,Energy Infrastructure,filler,41.864796,-72.664469,ETF,ETF
59,J.P. Morgan Alerian MLP Index ETN,,ETF,MLP,filler,40.755882,-73.975584,ETF,ETF
60,First Trust Energy AlphaDEX Fund,,ETF,Broad,filler,41.863975,-88.105688,ETF,ETF
61,Invesco S&P 500 Equal Weight Energy ETF,,ETF,Oil and Gas Exploration,filler,33.798373,-84.387901,ETF,ETF
62,Tortoise North American Pipeline Fund,,ETF,Broad,filler,38.926938,-94.659808,ETF,ETF
63,iShares MSCI Global Energy Producers ETF,,ETF,Oil and Gas exploration,filler,40.758731,-73.974044,ETF,ETF
64,First Trust Nasdaq Oil & Gas ETF,,ETF,Oil and Gas exploration,filler,41.863975,-88.105688,ETF,ETF
65,Vanguard Utilities,,ETF,Broad,filler,40.052168,-75.500918,ETF,ETF
66,Global X Uranium ETF,,ETF,Uranium,filler,40.758731,-73.974044,ETF,ETF
67,Fidelity MSCI Energy Index ETF,,ETF,Oil and Gas Exploration,filler,42.351367,-71.040491,ETF,ETF
68,Invesco S&P SmallCap Energy ETF,,ETF,Broad,filler,33.798373,-84.387901,ETF,ETF
69,First Trust North American Energy Infrastructure Fund,,ETF,MLP,filler,41.863975,-88.105688,ETF,ETF
70,iPath Select MLP ETN,,ETF,MLP,filler,37.455118,-122.167465,ETF,ETF
71,ETRACS Alerian MLP Index ETN Series B,,ETF,MLP,filler,37.79209,-122.403676,ETF,ETF
72,MicroSectors US Big Oil Index 3X Leveraged ETN,,ETF,Oil and Gas exploration,filler,41.880475,-87.631354,ETF,ETF
73,Invesco Solar ETF,,ETF,Solar Energy,filler,33.798373,-84.387901,ETF,ETF
74,Tortoise MLP & Pipeline Fund,,Mutual Funds,Energy limited partnership,filler,38.918086,-94.648476,Mutual Funds,Mutual Funds
75,Cohen & Steers MLP Energy Opp Ed,,Mutual Funds,Energy MLP Fund,filler,40.756743,-73.975565,Mutual Funds,Mutual Funds
76,Tortoise MLP & Energy Income Fd,,Mutual Funds,Energy limited partnership,filler,38.918086,-94.648476,Mutual Funds,Mutual Funds
77,Virtus Duff & Phelps Sel MLP & Energy FD,,Mutual Funds,Energy limited partnership,filler,40.758531,-73.974164,Mutual Funds,Mutual Funds
78,Transmerica Energy Infrastructure,,Mutual Funds,Energy limited partnership,filler,42.02366,-91.704473,Mutual Funds,Mutual Funds
79,PGIM Jennison MLP Fund,,Mutual Funds,,filler,40.738966,-74.170685,Mutual Funds,Mutual Funds
80,Invesco SteelPath MLP Select 40 Fd,,Mutual Funds,Energy limited partnership,filler,33.798373,-84.387901,Mutual Funds,Mutual Funds
81,Salient Energy and Infrastructure Fund,,Mutual Funds,Energy limited partnership,filler,44.700746,-63.602746,Mutual Funds,Mutual Funds
82,Goldman Sachs MLP Energy Infras Fd,,Mutual Funds,Energy limited partnership,filler,40.714854,-74.014497,Mutual Funds,Mutual Funds
83,Invesco SteelPath MLP Income Fd,,Mutual Funds,Energy limited partnership,filler,33.798373,-84.387901,Mutual Funds,Mutual Funds
84,Eagle MLP Strategy Fund,,Mutual Funds,Energy limited partnership,filler,33.977188,-118.39248,Mutual Funds,Mutual Funds
85,Central Coast Brookfield Midstream FOC,,Mutual Funds,Energy limited partnership,filler,36.596694,-121.893179,Mutual Funds,Mutual Funds
86,Hennesy BP Midstream Fund,,Mutual Funds,Energy limited partnership,filler,40.74331,-74.007932,Mutual Funds,Mutual Funds
87,Invesco SteelPath MLP Alpha Fd,,Mutual Funds,Energy limited partnership,filler,33.798373,-84.387901,Mutual Funds,Mutual Funds
88,Mainstay Cushing MLP Premier Fund,,Mutual Funds,Energy limited partnership,filler,38.003996,-122.296246,Mutual Funds,Mutual Funds
89,Catalyst Energy Infrastructure Fund,,Mutual Funds,Energy limited partnership,filler,40.704718,-74.005988,Mutual Funds,Mutual Funds
90,MainGate MLP Fund,,Mutual Funds,Energy limited partnership,filler,39.76666,-86.300588,Mutual Funds,Mutual Funds
91,Invesco SteelPath MLP Alpha Plus Fd,,Mutual Funds,Energy limited partnership,filler,33.798373,-84.387901,Mutual Funds,Mutual Funds
92,Recurrent MLP & Infrastructure Fund,,Mutual Funds,Energy limited partnership,filler,25.766833,-80.188727,Mutual Funds,Mutual Funds
93,GS Energy Infrastructure Fund,,Mutual Funds,Energy limited partnership,filler,40.714854,-74.014497,Mutual Funds,Mutual Funds
94,EIP Growth and Income Fund,,Mutual Funds,Energy limited partnership,filler,39.608651,-104.920144,Mutual Funds,Mutual Funds
95,Cushing NextGen Infrastructure Fund,,Mutual Funds,Energy limited partnership,filler,38.003996,-122.296246,Mutual Funds,Mutual Funds
96,Deleware Ivy Energy Fund,,Mutual Funds,Energy limited partnership,filler,39.105838,-94.589489,Mutual Funds,Mutual Funds
97,Ecofin Global Energy Transition Fund,,Mutual Funds,Energy limited partnership,filler,38.926938,-94.659808,Mutual Funds,Mutual Funds
